dep,dur,mem,jour,temp,prec,pointe
5/23/2021 20:13,522,0,dimanche,15.8,0.5,3
5/23/2021 17:21,661,0,dimanche,15.8,0.5,2
5/30/2021 15:28,1087,0,dimanche,13.6,0.9,2
5/16/2021 18:08,1631,0,dimanche,15.8,0.3,2
5/9/2021 16:47,877,0,dimanche,11.4,0,2
5/9/2021 17:24,2904,0,dimanche,11.4,0,2
6/27/2021 9:06,382,0,dimanche,26.9,0,1
6/20/2021 8:49,3044,0,dimanche,21.8,0,1
6/20/2021 9:52,508,0,dimanche,21.8,0,1
6/27/2021 6:25,891,0,dimanche,26.9,0,1
6/20/2021 9:32,1852,0,dimanche,21.8,0,1
6/20/2021 2:07,142,0,dimanche,21.8,0,3
6/20/2021 14:01,205,0,dimanche,21.8,0,3
6/27/2021 22:33,2781,0,dimanche,26.9,0,3
6/6/2021 12:03,975,0,dimanche,24.5,0,3
6/27/2021 14:21,514,0,dimanche,26.9,0,3
6/13/2021 17:30,3140,0,dimanche,21.6,2.8,2
6/20/2021 17:46,2633,0,dimanche,21.8,0,2
6/20/2021 18:22,400,0,dimanche,21.8,0,2
6/27/2021 15:20,1369,0,dimanche,26.9,0,2
6/20/2021 17:02,1027,0,dimanche,21.8,0,2
7/18/2021 8:03,773,0,dimanche,21.8,0,1
7/11/2021 9:41,804,0,dimanche,21,0,1
7/4/2021 9:38,2910,0,dimanche,18.4,0,1
7/4/2021 8:40,809,0,dimanche,18.4,0,1
7/11/2021 9:40,542,0,dimanche,21,0,1
7/25/2021 20:59,1517,0,dimanche,22.8,13.9,3
7/11/2021 20:20,953,0,dimanche,21,0,3
7/25/2021 10:16,1130,0,dimanche,22.8,13.9,3
7/18/2021 19:22,100,0,dimanche,21.8,0,3
7/11/2021 14:09,1408,0,dimanche,21,0,3
7/4/2021 18:22,4974,0,dimanche,18.4,0,2
7/11/2021 18:23,694,0,dimanche,21,0,2
7/4/2021 17:30,562,0,dimanche,18.4,0,2
7/18/2021 15:40,502,0,dimanche,21.8,0,2
7/18/2021 18:54,665,0,dimanche,21.8,0,2
8/15/2021 9:22,1330,0,dimanche,18.2,0,1
8/8/2021 9:56,215,0,dimanche,24,0,1
8/22/2021 6:34,930,0,dimanche,28.2,0,1
8/8/2021 9:56,1032,0,dimanche,24,0,1
8/29/2021 8:25,216,0,dimanche,19.3,6.5,1
8/8/2021 13:57,953,0,dimanche,24,0,3
8/22/2021 0:39,466,0,dimanche,28.2,0,3
8/22/2021 13:35,736,0,dimanche,28.2,0,3
8/15/2021 14:46,69,0,dimanche,18.2,0,3
8/22/2021 2:55,504,0,dimanche,28.2,0,3
8/22/2021 17:32,1663,0,dimanche,28.2,0,2
8/29/2021 17:29,922,0,dimanche,19.3,6.5,2
8/1/2021 17:47,1980,0,dimanche,16.9,0,2
8/22/2021 17:42,743,0,dimanche,28.2,0,2
8/1/2021 17:01,1442,0,dimanche,16.9,0,2
9/19/2021 8:48,628,0,dimanche,15.4,0,1
9/5/2021 9:59,635,0,dimanche,19.5,13.6,1
9/5/2021 8:46,855,0,dimanche,19.5,13.6,1
9/19/2021 8:56,1300,0,dimanche,15.4,0,1
9/12/2021 9:35,539,0,dimanche,19.1,0,1
9/12/2021 11:10,1423,0,dimanche,19.1,0,3
9/19/2021 22:33,536,0,dimanche,15.4,0,3
9/12/2021 14:08,691,0,dimanche,19.1,0,3
9/5/2021 10:34,1349,0,dimanche,19.5,13.6,3
9/26/2021 3:19,743,0,dimanche,16.7,0,3
9/5/2021 18:58,591,0,dimanche,19.5,13.6,2
9/26/2021 16:36,2940,0,dimanche,16.7,0,2
9/26/2021 15:02,1013,0,dimanche,16.7,0,2
9/19/2021 15:34,662,0,dimanche,15.4,0,2
9/19/2021 17:02,770,0,dimanche,15.4,0,2
10/24/2021 9:25,292,0,dimanche,7.3,0,1
10/24/2021 9:00,617,0,dimanche,7.3,0,1
10/3/2021 9:28,431,0,dimanche,13,0.7,1
10/10/2021 6:49,559,0,dimanche,16.2,0,1
10/10/2021 9:22,1588,0,dimanche,16.2,0,1
10/31/2021 13:44,609,0,dimanche,9.6,37,3
10/10/2021 1:46,214,0,dimanche,16.2,0,3
10/24/2021 11:24,248,0,dimanche,7.3,0,3
10/17/2021 14:37,812,0,dimanche,11.1,0.2,3
10/10/2021 12:08,1085,0,dimanche,16.2,0,3
10/10/2021 16:40,990,0,dimanche,16.2,0,2
